date,comp_private_real_index_1948,productivity_real_index_1948
1948q1,100,100
1948q2,100.75097564555549,101.21476135651228
1948q3,100.84057385234033,100.76380540141467
1948q4,103.08779657109149,102.72500433899023
1949q1,105.37368939372725,102.19414635699621
1949q2,106.62293886118444,101.33118080863304
1949q3,109.02966258464177,104.7471301891299
1949q4,110.31438868000767,104.73642745220045
1950q1,111.81445281746598,108.8722888281703
1950q2,112.38423163320705,110.12933149720877
1950q3,111.6683747827962,112.14181349376024
1950q4,112.10402400179538,112.86223957344819
1951q1,110.15571185313364,111.52754129584737
1951q2,111.19149644636381,111.58352526019937
1951q3,113.49124524120012,114.36483782428452
1951q4,113.73945975982018,114.25644125098597
1952q1,114.35721373460512,114.30618965842756
1952q2,115.77647396590235,114.94611465247698
1952q3,115.79358523866124,115.27091622069013
1952q4,117.32861529295879,117.4911859576043
1953q1,119.64082892865203,119.93546760626042
1953q2,120.63105637141176,120.4489735282942
1953q3,121.77651617239927,120.19605691445092
1953q4,122.6207224542523,119.66301265194595
1954q1,123.66088866432597,120.27532317111569
1954q2,124.45101249933217,121.75064483572025
1954q3,125.28672715341574,123.69247372825676
1954q4,127.78721843262997,126.7868494063282
1955q1,128.4303538861827,128.81471496037298
1955q2,130.22808058470832,131.22750167739622
1955q3,130.63816159457312,131.33779289325813
1955q4,132.30790259984738,131.79568956550398
1956q1,134.17834179644663,132.4240350854743
1956q2,134.46198715837224,132.27451629833305
1956q3,134.84074105239532,132.32249993623657
1956q4,135.82113085089426,134.33242387749232
1957q1,136.41060689993708,135.85624863242572
1957q2,137.5361256820569,136.03272371353827
1957q3,137.8723411590036,136.36094288169994
1957q4,138.4981998157744,136.54321377583543
1958q1,137.53666327579066,135.00065419925247
1958q2,137.98766672489194,136.2680656481921
1958q3,138.79773480391492,139.6100061597217
1958q4,140.04294760352806,141.85523371152945
1959q1,141.98330606527213,143.43229518716979
1959q2,142.98741471478286,144.21438578148104
1959q3,142.8326259942132,144.5147981502363
1959q4,143.32915195078363,144.4664935921097
1960q1,144.33333735035976,148.03511870897077
1960q2,145.59053044481865,145.9011937766402
1960q3,146.20533756166668,146.19076340266926
1960q4,146.47912478014268,144.9234695649153
1961q1,147.58190323204403,146.55121975121932
1961q2,148.42771972375863,151.1010891639866
1961q3,148.51763069579505,152.7603100834592
1961q4,149.0868651767592,153.82989308667482
1962q1,151.00270340738479,155.66108114306684
1962q2,151.59030672596617,155.5528596867127
1962q3,152.28427860187855,157.42614334670694
1962q4,153.32328537237916,158.92495273988837
1963q1,154.73996188770155,160.67553828057538
1963q2,155.77918778079695,161.79151135769217
1963q3,155.34949297801845,163.8070206024389
1963q4,157.15163602469505,165.4438865612015
1964q1,158.0306058980716,167.44903973307314
1964q2,158.57724746107118,167.0140850140533
1964q3,160.2829750820997,169.5915570502089
1964q4,160.44717035746322,168.71264808435217
1965q1,161.56845954375376,171.08886254995295
1965q2,162.3588713303909,171.37986280076723
1965q3,163.13972646410042,175.049295022943
1965q4,164.77290839275528,178.51256795557347
1966q1,165.0748425141153,179.33963601976427
1966q2,165.36807654363056,178.15165445874922
1966q3,165.60386196118836,178.6845395085279
1966q4,165.67574269373043,179.40015201895645
1967q1,166.7907356460858,180.08100046861912
1967q2,168.48069902697262,181.69788226801145
1967q3,168.6755248699381,181.54799234729796
1967q4,169.22003605533118,182.33844932951078
1968q1,170.60366567304393,186.34040073279553
1968q2,171.06941352695472,187.5850776120415
1968q3,172.22460533516053,187.88752576018356
1968q4,172.87024159409475,187.9694836364258
1969q1,175.0609173809946,189.73851506928278
1969q2,175.14811164798095,188.78432653461985
1969q3,176.19282759668707,190.36399974735713
1969q4,177.17776781760236,189.6202211898267
1970q1,176.40903806925553,190.12157028255012
1970q2,176.84543452390204,191.93823486818917
1970q3,178.55041631520123,195.30060212620438
1970q4,178.87423946462278,193.89423636488746
1971q1,181.1031781996364,200.0155801775002
1971q2,182.1052250536443,200.81059369019223
1971q3,183.4928000723326,203.2159076433402
1971q4,184.92945990512374,202.5791804893752
1972q1,189.56996653529464,204.65831921215067
1972q2,191.6494933754587,209.24164759991916
1972q3,193.14616010119957,211.02121582833368
1972q4,193.87383152944614,213.65654130939114
1973q1,193.77264093525474,214.76225397139737
1973q2,192.07861704076333,213.82055878664636
1973q3,191.64828796323562,211.37519185071798
1973q4,189.92545107913637,211.77649259267037
1974q1,188.1040396359297,207.3102819535622
1974q2,187.64168582628636,207.7732226811532
1974q3,187.49238243876601,205.96720204488713
1974q4,186.5895766356502,207.02664087699802
1975q1,186.9276016332358,209.2541334548999
1975q2,187.50054146908576,212.20605784424035
1975q3,186.88687942211567,214.2937292205455
1975q4,186.6445578748145,214.72570207907674
1976q1,187.3208081611035,216.55428625556397
1976q2,188.74383356657677,218.09017755449847
1976q3,189.92894628285092,218.0976693942343
1976q4,190.70871983549125,218.6091897406014
1977q1,191.4745954026221,219.36717897402968
1977q2,191.75761730917716,218.62524137032878
1977q3,193.0956502094564,221.08722700431053
1977q4,193.49936306688963,220.2983589659591
1978q1,195.029283671864,219.53669423911185
1978q2,194.97719838670196,222.66543028350756
1978q3,194.8491116482581,222.5082110397138
1978q4,195.4189403726312,224.00825774590552
1979q1,195.10428541650646,221.67356976395197
1979q2,192.9830021013356,220.66456999597844
1979q3,192.22752845540535,218.92228728426574
1979q4,190.67206920697888,216.83598091807968
1980q1,188.2895699938449,215.70358238588634
1980q2,188.2120892271503,212.90238375054176
1980q3,187.8590792872871,212.76696149089344
1980q4,187.66090602479576,214.72332823596852
1981q1,186.76090295344483,217.90189197173265
1981q2,187.28738358493624,216.79260532320424
1981q3,187.15843291518362,219.1791809839222
1981q4,186.47213766872213,215.96797666668732
1982q1,187.28990555915323,215.4187970332472
1982q2,187.8267676322026,215.1284458179367
1982q3,187.504581736693,214.87877422458754
1982q4,187.05565254997117,215.91355361630679
1983q1,189.19027707471218,218.72753470935316
1983q2,188.93801747331486,221.6856789092044
1983q3,188.57931164352172,223.02552859365196
1983q4,188.48257230819848,225.19710939165267
1984q1,188.00384087366655,225.45749189172395
1984q2,187.66149504526172,226.9192457412179
1984q3,187.58957119187818,228.20099459572583
1984q4,187.41685325457382,228.68679429367677
1985q1,187.22252914511822,229.90181044824632
1985q2,187.29401368297488,229.9404249410138
1985q3,187.55286632784157,232.53703865978918
1985q4,187.21384294483664,232.28033679290814
1986q1,187.4254758582616,234.15893994253517
1986q2,189.40238641984496,237.10503329360878
1986q3,189.36382485255257,237.89104315927906
1986q4,189.30011738855669,236.67891396674756
1987q1,187.8331477877431,234.46317050426845
1987q2,187.00238508170938,235.15685218479828
1987q3,186.3626033240735,235.0426310747816
1987q4,186.39506516297342,236.98062862963684
1988q1,186.3195002821195,237.6273549710119
1988q2,186.35763489702035,237.9800772708051
1988q3,186.07086098966772,238.99269850031462
1988q4,186.65370503493966,239.55026320564468
1989q1,186.8010426705035,239.6948896134719
1989q2,186.0319821786984,239.81313954747452
1989q3,186.60261757887773,240.7884387751274
1989q4,187.13907519986694,240.36363581818895
1990q1,186.7645221625519,241.57424920072046
1990q2,186.58120456713795,243.4978892907906
1990q3,184.93457586251193,241.72622037004635
1990q4,183.81432258852368,237.71776498310703
1991q1,184.51972685177736,238.90838985914078
1991q2,185.62222725672896,242.66489232802635
1991q3,186.2282946991284,244.29485136361743
1991q4,186.37570371889367,245.1165955896051
1992q1,186.83335468465535,248.96921490077614
1992q2,187.41138958178462,250.9470937305988
1992q3,187.6657367709499,253.43106364105506
1992q4,186.96118126747575,254.637966504482
1993q1,188.3125662412118,253.4077255464846
1993q2,187.52084022365003,252.01661060216605
1993q3,187.68764077654902,252.7441589968669
1993q4,187.82726741117827,254.48335963640085
1994q1,188.85628019443382,255.57531574429606
1994q2,188.23275391265352,255.11861430104955
1994q3,187.9567776916665,253.84058405895487
1994q4,188.12441531772407,256.26717547411505
1995q1,187.5139116952572,254.96554305223253
1995q2,187.2425959047922,254.99501158237962
1995q3,187.51664132146385,254.98626752251897
1995q4,187.8207210875149,256.7811458911794
1996q1,187.63931976888747,258.3389691262839
1996q2,187.4413285590239,259.1202889266877
1996q3,188.03522216940783,258.95158154360615
1996q4,187.82221866429848,258.85138648559416
1997q1,188.26099972928577,259.3053680363476
1997q2,189.3076981478364,262.217869275396
1997q3,190.42064559886668,264.4492710373601
1997q4,191.55499801006718,264.870948094587
1998q1,192.92886665973455,265.63709094423945
1998q2,194.3044484096969,266.3380956465788
1998q3,194.9681247849239,269.49111706865716
1998q4,195.7801197760823,270.8577948246347
1999q1,196.93510403768346,273.7949283379729
1999q2,197.19784142137647,272.35681130803954
1999q3,197.72702068319632,273.75224638442904
1999q4,197.95994669974854,276.2652766190964
2000q1,196.989205927339,273.2300426850172
2000q2,198.0801361735407,277.8645468136984
2000q3,198.42755465446137,277.79330177445047
2000q4,199.9587996979657,280.67738880657464
2001q1,200.43131989619792,278.41007700825816
2001q2,201.64704855255727,281.72753993144244
2001q3,202.90280166907397,282.239237799523
2001q4,205.00081651928053,285.7452908628296
2002q1,206.21220393953865,290.701571108613
2002q2,206.32113737769154,290.46656605406446
2002q3,207.50577465466492,292.00871395486166
2002q4,209.0787234083335,292.3648098583867
2003q1,209.20379760544074,294.1636470085373
2003q2,210.5833515702459,299.8833863447925
2003q3,210.35326025789152,303.9812533410023
2003q4,210.03090669031644,307.26671442130487
2004q1,210.00976082895605,307.2714184442711
2004q2,209.8258748434797,309.8248311189021
2004q3,209.9557916420051,311.5544591067743
2004q4,209.28347070990668,312.7841255845574
2005q1,210.23539655904625,316.1834564828515
2005q2,210.58397042334053,316.65556432807705
2005q3,209.05139544285257,315.9510691719276
2005q4,209.07804197244704,316.6288051596082
2006q1,209.52398029260232,319.11834528869485
2006q2,210.05039993806335,318.36979589658273
2006q3,210.00311396638133,316.5537241121144
2006q4,212.64154679891715,319.79204258508594
2007q1,212.4158832139298,321.39687239943004
2007q2,212.967219540581,321.25908172525686
2007q3,213.6791210903771,323.16044451188725
2007q4,212.74256504331927,322.6282477964051
2008q1,212.60767523282337,319.1770411044726
2008q2,212.1376175131029,319.25792831799595
2008q3,210.95543757515767,316.85599110839877
2008q4,217.53170516418731,321.8704111395424
2009q1,222.39455351832592,327.3614577303144
2009q2,222.48926609539015,331.0369312250123
2009q3,222.08030453347493,333.6765310420015
2009q4,222.0987759258469,337.03716854941814
2010q1,223.97177717485454,338.6521823511269
2010q2,224.88702777217867,340.56527285308
2010q3,225.22320993008645,344.53118650193073
2010q4,224.75560701626455,344.60123129677186
2011q1,223.7124543751902,340.8949389777731
2011q2,222.11007716039174,339.0898295925948
2011q3,221.24675198270077,338.0887409643379
2011q4,221.43078442641806,338.49980792792894
2012q1,219.92886721044277,340.03391311437537
2012q2,220.44573868671074,341.8242393108048
2012q3,220.52438681989977,339.8042092213301
2012q4,219.83876046160256,339.49705976631543
2013q1,221.37770375713183,342.2741559661853
2013q2,223.09269842284968,343.42882273581006
2013q3,223.5250163712211,344.77916494191686
2013q4,224.01155147802058,346.9417967489664
2014q1,223.74099634514505,344.1294287061396
2014q2,223.50821764042252,345.8901603306855
2014q3,223.91322611738968,348.8963712796275
2014q4,225.2181687339032,348.4559979329202
2015q1,228.05371113492723,352.03829604962687
2015q2,227.75479380469213,353.6473343735739
2015q3,228.15621051919024,354.6189223437042
2015q4,229.88947234850787,353.51853154112376
2016q1,231.50865561542133,354.5000926178609
2016q2,231.0617221289522,354.25999858148543
2016q3,231.54799716552094,355.27947535695836
2016q4,231.3868869851556,357.7583163348432
2017q1,231.1840873348803,357.69748853756084
2017q2,232.38131456812064,357.792098179552
2017q3,233.28510153279785,361.25628838528417
2017q4,232.73723804656612,362.55943972530525
2018q1,233.289029955837,363.9948332413451
2018q2,234.00906653775516,364.43914826310277
2018q3,235.1302178642366,365.46323131098967
2018q4,236.70979284357873,365.23803747405503
2019q1,237.86724407094496,367.17310781444047
2019q2,238.2531191337922,368.4481623106745
2019q3,239.78182637472804,371.5963867162173
2019q4,240.00803471315913,373.4214195704251
2020q1,241.2438983931791,373.08371069119335
2020q2,253.79097619541216,385.24880688120174
2020q3,248.21321984868675,391.2097483038279
2020q4,248.05960216381698,388.6088261935067
2021q1,248.40956776654517,393.1037091560659
2021q2,247.24308953746322,393.3169994672772
2021q3,247.13768537211038,391.59604024603595
2021q4,246.20826990778065,392.8701610489556
2022q1,244.38894821786485,387.41351946014146
2022q2,242.00515732518505,383.7113575866968
2022q3,241.8706749799441,382.41150288425155
2022q4,242.583346081727,384.265676383828
2023q1,243.10204434859747,384.33789235431993
2023q2,244.2872498210256,385.03781702486634
2023q3,245.05027399777126,389.47602086434443
2023q4,246.3403359053193,391.3607336670537
2024q1,246.58610050560586,391.847714690459
2024q2,246.76127380404714,393.04633735175236
